porosity,Permeability,Depth,API,Viscosity,Temperature
25,85,2900,40,3,99
7,5,5500,41,0.8,108
7.1,10,5400,43,0.8,108
10.2,18,4000,36,1,90
11.7,11,4400,38,1,101
12,22,4550,38,1,101
15,13,4200,35,0.9,102
18,22,9800,43,0.2,240
7,5,5900,28,3,115
10,7,5200,33,1,105
14,5,4700,32,2,103
17,9,7800,40,0.4,120
11.7,11,4400,38,1,101
9,20,4400,29,6,100
22,5,5400,44,0.4,106
9.4,3,6400,41,0.4,130
9.4,3,6400,41,0.4,130
12.8,13.9,4850,34,2.3,92
10,11.2,4050,36,0.8,90
11,13.9,3700,36,0.8,90
12,8,4985,32,2,105
21,30,9800,41,0.2,245
17,10,9000,32,1.8,205
15,8,4852,35,1,98
13,20,5100,34,1.2,101
12,62,5500,35,1,104
12,3.8,4900,30,2.3,105
12,5,4300,34,1.6,94
9,5,5100,32,1.3,110
10,4,5000,31,1,108
10.8,2,4900,31,1.4,105
10.5,4.3,5000,28,1.7,105
10,4,4950,31,1.4,105
10,1.5,5100,32,2,105
12,14.4,8500,43,0.5,140
11.6,1.5,3850,31,2.3,86
10,10,4200,32,1.2,94
9.4,19.4,6700,41,0.4,130
9.3,9,4890,34,2.2,96
16,5,3180,33,2.5,104
13,3,4100,35,1,100
8.6,2,4500,33,1,106
13,6,5100,33,1,110
10,3,5400,30,3,101
10,3,5000,32,2,107
12.5,6,4900,32,1,110
10,150,6600,40,1,125
9,20,4300,29,6,97
20,12,6300,39,1,125
10.5,4,5500,32,1.4,104
10,4,5500,32,1,106
10,2,5300,33,2,108
10,4,4000,34,2,86
18,5,3000,36,3,80
11,4,4900,34,2,98
22,5,5300,44,0.4,106
13,10,4900,32,1.4,107
12,5,5200,33,1.3,105
6,2,6700,33,1.2,105
10.4,170,6700,44,0.4,139
11,6,4950,33,1,105
9,4,4700,32,2.3,104
9.2,100,9800,44,0.5,151
11.5,4,6500,40,1,113
13.5,17,8000,40,0.4,125
8.4,2,5200,32,1,107
13,6,6800,40,0.7,130
7,2,7850,28,1.9,134
14,5,5600,41,1,125
12,18.3,5700,42,1.5,129
14,3,1950,42,1.7,77
10,1.5,3850,31,2.3,86
10.8,10,4200,32,1.2,94
10.5,19.4,6700,41,0.4,130
10,9,4890,34,2.2,96
10,5,3180,33,2.5,104
12,3,4100,35,1,100
11.6,2,4500,33,1,106
10,6,5100,33,1,110
9.4,3,5400,30,3,101
9.3,3,5000,32,2,107
16,6,4900,32,1,110
13,150,6600,40,1,125
8.6,20,4300,29,6,97
13,12,6300,39,1,125
10,4,5500,32,1.4,104
10,4,5500,32,1,106
12.5,2,5300,33,2,108
10,4,4000,34,2,86
9,5,3000,36,3,80
20,4,4900,34,2,98
10.5,5,5300,44,0.4,106
10,10,4900,32,1.4,107
10,5,5200,33,1.3,105
10,2,6700,33,1.2,105
18,170,6700,43.5,0.4,139
11,6,4950,33,1,105
22,4,4700,32,2.3,104
13,100,9800,43.5,0.5,151
12,4,6500,40,1,113
6,17,8000,39.5,0.4,125
10.4,2,5200,32,1,107
11,6,6800,40,0.7,130
9,2,7850,28,1.9,134
9.2,5,5600,41,1,125
11.5,18.3,5700,42,1.5,129
13.5,3,1950,42,1.7,77
12.5,6,4900,32,1,110
10,3,5000,32,2,107
9,4,4700,32,2,104
11,6,4950,33,1,105
12,22,4550,38,1,101
11.7,11,4500,38,1,101
11.7,11,4500,38,1,101
11.58670886,0.1,5450,43,0.8,103
11.58670886,0.1,5450,42,0.8,103
7,10,5400,43,0.8,108
5,0.1,5500,43,0.8,100
